episode,cop_reward,thief_reward,captured,epsilon
0,20.06,-14.200000000000001,1,0.9995
1,19.79,-15.35,1,0.9990002500000001
2,20.8,-18.13,1,0.9985007498750001
3,20.11,-17.89,1,0.9980014995000627
4,20.669999999999998,-16.33,1,0.9975024987503127
5,-33.09,41.31,0,0.9970037475009376
6,22.83,-14.58,1,0.9965052456271871
7,20.34,-17.2,1,0.9960069930043736
8,19.47,-15.17,1,0.9955089895078715
9,19.97,-12.77,1,0.9950112350131176
10,20.88,-17.54,1,0.9945137293956111
11,-33.99,41.74,0,0.9940164725309134
12,20.69,-13.969999999999999,1,0.993519464294648
13,-31.43,41.83,0,0.9930227045625007
14,22.45,-10.67,1,0.9925261932102195
15,21.21,-12.68,1,0.9920299301136144
16,-34.4,44.92,0,0.9915339151485576
17,20.42,-14.35,1,0.9910381481909833
18,-35.22,43.21,0,0.990542629116888
19,-35.39,43.25,0,0.9900473578023296
20,-33.42,47.11,0,0.9895523341234285
21,-34.26,40.56,0,0.9890575579563669
22,-35.94,41.42,0,0.9885630291773887
23,-33.73,44.28,0,0.9880687476628001
24,-34.54,41.89,0,0.9875747132889687
25,19.95,-17.66,1,0.9870809259323243
26,20.24,-16.21,1,0.9865873854693582
27,-32.34,47.21,0,0.9860940917766235
28,20.08,-19.59,1,0.9856010447307353
29,20.27,-13.149999999999999,1,0.98510824420837
30,-34.93,41.9,0,0.9846156900862658
31,19.94,-16.42,1,0.9841233822412228
32,19.29,-15.42,1,0.9836313205501022
33,19.88,-15.44,1,0.9831395048898272
34,23.13,-11.94,1,0.9826479351373822
35,20.08,-16.65,1,0.9821566111698136
36,20.34,-19.47,1,0.9816655328642288
37,20.47,-10.310000000000002,1,0.9811747000977967
38,20.31,-14.270000000000001,1,0.9806841127477479
39,20.25,-15.28,1,0.9801937706913741
40,-34.76,46.239999999999995,0,0.9797036738060285
41,22.72,-12.780000000000001,1,0.9792138219691255
42,-34.33,42.93,0,0.978724215058141
43,21.16,-17.42,1,0.978234852950612
44,-35.99,39.14,0,0.9777457355241367
45,20.16,-15.11,1,0.9772568626563747
46,21.24,-16.13,1,0.9767682342250465
47,-34.66,44.54,0,0.976279850107934
48,-35.01,46.870000000000005,0,0.9757917101828801
49,20.08,-19.87,1,0.9753038143277888
50,-33.51,43.66,0,0.974816162420625
51,-34.64,42.47,0,0.9743287543394147
52,-34.44,42.83,0,0.973841589962245
53,20.11,-18.3,1,0.973354669167264
54,22.15,-14.220000000000002,1,0.9728679918326804
55,-34.24,44.31,0,0.972381557836764
56,-34.74,43.1,0,0.9718953670578457
57,20.06,-18.37,1,0.9714094193743169
58,21.68,-13.89,1,0.9709237146646298
59,22.14,-16.56,1,0.9704382528072976
60,19.87,-15.41,1,0.9699530336808939
61,20.96,-15.620000000000001,1,0.9694680571640535
62,-33.69,42.22,0,0.9689833231354715
63,-34.76,43.510000000000005,0,0.9684988314739038
64,20.8,-16.73,1,0.9680145820581669
65,20.32,-19.3,1,0.9675305747671379
66,20.98,-18.34,1,0.9670468094797544
67,20.49,-16.7,1,0.9665632860750146
68,19.69,-13.629999999999999,1,0.9660800044319772
69,-34.97,42.489999999999995,0,0.9655969644297613
70,-35.21,44.37,0,0.9651141659475465
71,20.0,-9.860000000000001,1,0.9646316088645728
72,-34.93,42.11,0,0.9641492930601405
73,21.04,-12.54,1,0.9636672184136105
74,21.09,-16.02,1,0.9631853848044037
75,19.75,-17.61,1,0.9627037921120016
76,20.98,-15.85,1,0.9622224402159457
77,20.03,-18.95,1,0.9617413289958378
78,19.75,-18.68,1,0.9612604583313399
79,19.82,-16.03,1,0.9607798281021742
80,21.27,-15.59,1,0.9602994381881231
81,-34.6,46.02,0,0.9598192884690291
82,19.8,-15.03,1,0.9593393788247946
83,20.18,-19.0,1,0.9588597091353822
84,21.05,-16.36,1,0.9583802792808146
85,-34.11,42.69,0,0.9579010891411742
86,20.93,-15.99,1,0.9574221385966036
87,20.85,-16.78,1,0.9569434275273054
88,-33.339999999999996,43.6,0,0.9564649558135419
89,20.71,-12.43,1,0.9559867233356352
90,19.98,-19.91,1,0.9555087299739674
91,-34.92,43.760000000000005,0,0.9550309756089804
92,19.84,-13.649999999999999,1,0.954553460121176
93,20.26,-17.12,1,0.9540761833911156
94,-33.74,41.74,0,0.95359914529942
95,20.06,-18.84,1,0.9531223457267703
96,21.69,-14.71,1,0.952645784553907
97,21.95,-14.580000000000002,1,0.9521694616616301
98,21.95,-12.489999999999998,1,0.9516933769307994
99,20.88,-17.27,1,0.951217530242334
100,-31.78,41.78,0,0.9507419214772129
101,-34.16,45.36,0,0.9502665505164744
102,-33.76,45.4,0,0.9497914172412162
103,20.85,-17.75,1,0.9493165215325956
104,21.79,-15.36,1,0.9488418632718294
105,-35.19,40.72,0,0.9483674423401935
106,20.08,-16.11,1,0.9478932586190235
107,21.04,-14.36,1,0.9474193119897141
108,20.0,-18.1,1,0.9469456023337193
109,-33.39,42.08,0,0.9464721295325524
110,-34.89,41.87,0,0.9459988934677862
111,19.89,-17.52,1,0.9455258940210524
112,-33.35,44.6,0,0.9450531310740419
113,-34.56,43.33,0,0.9445806045085049
114,21.26,-16.97,1,0.9441083142062507
115,20.98,-17.36,1,0.9436362600491477
116,-34.53,41.68,0,0.9431644419191232
117,19.8,-17.36,1,0.9426928596981636
118,19.56,-13.889999999999999,1,0.9422215132683146
119,21.81,-17.0,1,0.9417504025116805
